CODE,DAY,MONTH,YEAR,VALUE,TYPE
ELETRO12_CEETCOM12,1,6,2006,289.272408,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2006,291.598214,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2006,290.524656,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2006,291.001109,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2006,290.31513,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2006,289.318818,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2006,283.137594,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2007,283.508385,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2007,280.612391,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2007,283.143077,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2007,280.76894,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2007,290.184025,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2007,292.587372,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2007,291.674859,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2007,288.249849,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2007,283.844536,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2007,283.062789,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2007,280.125644,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2007,274.251098,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2008,270.426693,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2008,270.023177,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2008,270.685655,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2008,269.507192,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2008,268.102613,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2008,270.088838,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2008,271.058379,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2008,274.03645,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2008,273.495677,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2008,273.650709,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2008,272.998696,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2008,270.108081,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2009,271.431205,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2009,272.056518,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2009,269.852262,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2009,271.624127,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2009,283.709346,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2009,283.390361,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2009,287.129398,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2009,283.564599,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2009,286.761407,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2009,286.357229,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2009,283.238123,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2009,278.045265,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2010,279.0133,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2010,278.2873,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2010,278.3222,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2010,278.7301,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2010,284.9496,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2010,285.8804,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2010,290.4389,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2010,290.618,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2010,291.5444,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2010,291.3394,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2010,287.8437,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2010,283.2263,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2011,284.9355,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2011,283.1214,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2011,284.0749,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2011,287.8662,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2011,297.2554,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2011,300.486,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2011,302.1391,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2011,301.3939,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2011,301.1362,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2011,301.5226,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2011,301.3072,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2011,298.8265,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2012,301.6806,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2012,299.4318,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2012,297.9793,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2012,299.6113,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2012,309.025,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2012,310.3535,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2012,311.5042,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2012,310.5056,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2012,310.5141,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2012,314.1416,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2012,312.6446,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2012,314.374300126154,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2013,312.720639750331,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2013,271.139493616628,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2013,254.580079123479,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2013,255.780624873728,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2013,262.733355630208,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2013,263.510710587285,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2013,264.994159420165,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2013,266.133993968412,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2013,267.945525987728,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2013,280.773414068198,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2013,277.250871092928,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2013,270.768080363555,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2014,270.27309881435,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2014,269.677396205634,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2014,271.038886166497,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2014,273.354380865402,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2014,284.634731623384,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2014,288.675190710841,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2014,291.952368828176,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2014,302.957218366101,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2014,310.52155077468,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2014,314.781341735778,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2014,316.922940334032,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2014,322.121107617296,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2015,329.866210276359,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2015,337.700553338735,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2015,375.647519031907,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2015,419.256992885512,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2015,425.892660456892,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2015,432.67,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2015,441.98,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2015,441.9,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2015,440.71,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2015,441.07,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2015,444.6,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2015,450.85,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2016,451.44,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2016,452.6,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2016,448.01,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2016,442.9,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2016,445.17,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2016,456.08,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2016,445.33,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2016,438.12,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2016,449.52,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2016,449.96,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2016,437.55,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2016,433.47,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2017,430.52,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2017,427.43,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2017,435.36,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2017,422.31,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2017,422.85,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2017,442.76,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2017,441.19,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2017,456.42,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2017,458.33,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2017,467.9,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2017,483.68,VALUE (R$)
