CODE1,CODE2,CORRELATION,DELAY
FUNCEX12_MDPT12,FUNCEX12_XVQUIM2N12,0.9450079200482364,-1
ABATE12_ABQUSU12,ELETRO12_CEEOUT12,0.9450051019284832,-11
FUNCEX12_MVMNM2N12,FUNCEX12_XPB12,0.94494439199005,-2
FUNCEX12_MPBEB2N12,FUNCEX12_MPQUIM2N12,0.9449368034616752,-5
ABATE12_ABPESU12,IGP12_IPAI12,0.944933244090634,-1
FUNCEX12_MPPLAS2N12,FUNCEX12_MPQUIM2N12,0.9448890070120032,-1
BM12_DINGFN12,IGP12_IGPOG12,0.9447959413911852,10
FUNCEX12_XPS12,FUNCEX12_XVQUIM2N12,0.944746023090844,-1
FUNCEX12_MVVEIC2N12,FUNCEX12_XPT12,0.944722966415152,-1
ELETRO12_CEETT12,BM12_DINGFN12,0.9447222165225914,4
BM12_DINGFN12,ABATE12_ABQUSU12,0.9446939308943166,9
BM12_DINGFN12,IGP12_IGPOG12,0.9446645601303604,-12
BM12_DINGFN12,IGP12_IGPF12,0.9446210162894952,10
BM12_DINGFN12,ABATE12_ABPESU12,0.9445225613082606,10
FUNCEX12_MVMAQEQU2N12,FUNCEX12_XPB12,0.944503696834498,-1
FUNCEX12_MVMNM2N12,FUNCEX12_XPB12,0.944432633792797,-3
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9443930261170672,7
FUNCEX12_XPT12,BPAG12_SERTRANSD12,0.9443503730166656,2
BM12_DINGFN12,ABATE12_ABPESU12,0.9442987487428384,12
ELETRO12_CEEOUT12,IGP12_IGPF12,0.9442715895130808,-10
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.9442374901815316,9
FUNCEX12_MPAGP2N12,FUNCEX12_XPB12,0.9441840140053394,-1
BM12_DINGFN12,ABATE12_ABPESU12,0.9441428997651888,11
FUNCEX12_MPBEB2N12,FUNCEX12_MPQUIM2N12,0.944115497979266,-6
FUNCEX12_XPM12,BPAG12_SERTRANSD12,0.9440309328616208,-3
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9440098982335344,9
FUNCEX12_MPPLAS2N12,FUNCEX12_MPQUIM2N12,0.9439567256789608,3
ELETRO12_CEERES12,FUNCEX12_MQPES2N12,0.9438812659560004,8
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9438698466977804,10
ABATE12_ABQUSU12,IGP12_IPAA12,0.9438536259607612,-11
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.943836822481774,2
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9438324683630274,11
FUNCEX12_XQPAP2N12,IGP12_IGPOG12,0.9438313506152756,-12
ELETRO12_CEETIND12,IGP12_IPAA12,0.9438274009441492,-12
ELETRO12_CEERES12,IGP12_IGPF12,0.9438034565874728,-12
FUNCEX12_MDPT12,FUNCEX12_MPPLAS2N12,0.9437968400782208,2
BM12_DINGFN12,ABATE12_ABQUSU12,0.9437925091161588,8
FUNCEX12_MPAGP2N12,FUNCEX12_XPM12,0.9437289110405508,3
ELETRO12_CEETIND12,BM12_DINGFN12,0.9436458543176838,1
ELETRO12_CEET12,FUNCEX12_MQDIV2N12,0.9436103104201652,-3
ELETRO12_CEETCOM12,BM12_DINGFN12,0.9435895313288106,6
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.94357158857225,6
ABATE12_ABQUSU12,ELETRO12_CEEOUT12,0.9435499910830288,-1
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.943506543824086,-5
FUNCEX12_MPAGP2N12,FUNCEX12_MPAL2N12,0.943499071829769,-1
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.9434982329460834,3
FUNCEX12_MPAGP2N12,FUNCEX12_MPAL2N12,0.9434954587781124,4
FUNCEX12_MDPT12,FUNCEX12_MPAGP2N12,0.943423327697752,-3
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.9433754739419488,-4
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.943345333074752,8
FUNCEX12_MPPLAS2N12,FUNCEX12_XPM12,0.9432452712177428,1
FUNCEX12_MVMNM2N12,FUNCEX12_XPB12,0.9432282254149776,-1
FUNCEX12_MPAL2N12,FUNCEX12_XPS12,0.9431836123609436,-1
FUNCEX12_MPBEB2N12,FUNCEX12_MPQUIM2N12,0.9431560418818022,-2
FUNCEX12_MPAL2N12,FUNCEX12_XPT12,0.9431505775899346,-1
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9430442078824351,9
FUNCEX12_TTR12,FUNCEX12_XPB12,0.943035835105454,1
ELETRO12_CEEOUT12,IGP12_IGPOG12,0.9430082506102868,-9
ELETRO12_CEEOUT12,FUNCEX12_MQDIV2N12,0.9429794663421226,-3
ELETRO12_CEETIND12,IGP12_IPAA12,0.942969347206829,-11
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.942926034131611,-4
FUNCEX12_MPAL2N12,FUNCEX12_MVPLAS2N12,0.9429121072844856,1
FUNCEX12_MVMNM2N12,FUNCEX12_XPT12,0.942900581854667,-2
BM12_DINGFN12,ABATE12_ABQUSU12,0.9428977201503876,7
ELETRO12_CEEOUT12,FUNCEX12_MQDIV2N12,0.9428469846035245,-2
FUNCEX12_MDPT12,FUNCEX12_MPPLAS2N12,0.9428327194850272,-2
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.942822327855687,-3
FUNCEX12_XQPAP2N12,IGP12_IGPF12,0.9428060787683352,-12
BM12_DINGFN12,IGP12_IGPF12,0.9427639325606508,-12
ELETRO12_CEEOUT12,FUNCEX12_MQDIV2N12,0.9426898401704626,-1
FUNCEX12_MDPT12,FUNCEX12_XPB12,0.9426465436972454,-4
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.942624720754596,12
BM12_DINGFN12,IGP12_IGPOG12,0.942536692763158,9
ABATE12_ABQUSU12,IGP12_IPAI12,0.9425271353833152,1
FUNCEX12_MDPT12,FUNCEX12_XVQUIM2N12,0.9424649647208206,-2
FUNCEX12_MVMAQINF2N12,FUNCEX12_XPT12,0.9424585928245596,1
ABATE12_ABQUSU12,ELETRO12_CEEOUT12,0.9424563875146008,-12
ABATE12_ABQUSU12,IGP12_IPAI12,0.9424512858864108,2
BM12_DINGFN12,ABATE12_ABPESU12,0.9424358139468374,9
ABATE12_ABQUSU12,IGP12_IPAA12,0.9424217672273372,-10
BM12_DINGFN12,IGP12_IGPF12,0.9424171038868498,9
ABATE12_ABPESU12,ELETRO12_CEERES12,0.9424018182504076,6
FUNCEX12_MVMNM2N12,FUNCEX12_XPT12,0.942320570734093,-3
FUNCEX12_MPQUIM2N12,FUNCEX12_XPB12,0.9423169187414516,-3
FUNCEX12_MDPT12,FUNCEX12_MPPLAS2N12,0.942316230509154,3
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9423141364976484,-2
