CODE,DESCRICAO,GRANDE_TEMA,FONTE,MEDIDA
ANP12_CALCO12,Consumo aparente - álcool carburante - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_CDEPET12,Consumo aparente - derivados de petróleo - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_CGASOL12,Consumo aparente - gasolina - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_CGLP12,Consumo aparente - gás GLP - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_CODP12,Consumo aparente - derivados de petróleo - outros - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_COLCOM12,Consumo aparente - óleo combustível - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
ANP12_COLDIE12,Consumo aparente - óleo diesel - média - quantidade/dia,Macroeconômico,Agência Nacional do Petróleo (ANP),Barril
CNI12_VENREA12,Indicadores Industriais - faturamento real - indústria - índice (média 2006 = 100),Macroeconômico,Confederação Nacional da Indústria,-
CNI12_VENRED12,Indicadores Industriais - faturamento real - indústria - índice dessazonalizado (média 2006 = 100),Macroeconômico,Confederação Nacional da Indústria,-
ELETRO12_CEECO12,Energia elétrica - consumo - região Centro-Oeste (CO) - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEECOM12,Energia elétrica - consumo - comércio - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEEIND12,Energia elétrica - consumo - indústria - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEENE12,Energia elétrica - consumo - região Nordeste (NE) - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEENO12,Energia elétrica - consumo - região Norte (N) - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEEOUT12,Energia elétrica - consumo - outros setores - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEESE12,Energia elétrica - Consumo - região Sudeste (SE) - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEESU12,Energia elétrica - consumo - região Sul (S) - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEERES12,Energia elétrica - consumo - residência - quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEET12,Energia elétrica - consumo -  quantidade,Macroeconômico,Eletrobras,GWh
ELETRO12_CEETCOM12,Energia elétrica - consumo - comércio - tarifa média por MWh,Macroeconômico,Eletrobras,R$
ELETRO12_CEETIND12,Energia elétrica - consumo - indústria - tarifa média por MWh,Macroeconômico,Eletrobras,R$
ELETRO12_CEETRES12,Energia elétrica - consumo - residência - tarifa média por MWh,Macroeconômico,Eletrobras,R$
ELETRO12_CEETT12,Energia elétrica - consumo - tarifa média por MWh,Macroeconômico,Eletrobras,R$
FCESP12_IICA12,Índice de condições econômicas atuais (ICEA),Macroeconômico,"Federação do Comércio do Estado de São Paulo, Pesquisa Conjuntural do Comércio Varejista  da Região Metropolitana de São Paulo (Fecomercio SP)",-
FENABRAVE12_VENDAUTO12,Emplacamento de veículos - autoveículos - automóveis,Macroeconômico,Fenabrave - Federação Nacional da Distribuição de Veículos Automotores,Unidade
FENABRAVE12_VENDVETOT12,Emplacamento de veículos - autoveículos,Macroeconômico,Fenabrave - Federação Nacional da Distribuição de Veículos Automotores,Unidade
PMC12_IVVNN12,Vendas nominais - varejo - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_IVVRN12,Vendas reais - varejo - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_IVVRNSA12,Vendas reais - varejo - índice dessazonalizado (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VNCOMBN12,Vendas nominais - varejo - combustíveis e lubrificantes - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VNELETRN12,Vendas nominais - varejo - móveis e eletrodomésticos - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VNSUPN12,"Vendas nominais - varejo - hipermercados, produtos alimentícios, bebidas e fumo - índice (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VNVESTN12,"Vendas nominais - varejo - tecidos, vestuário e calçados - índice (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRCOMBN12,Vendas reais - varejo - combustíveis e lubrificantes - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRCOMBNSA12,Vendas reais - varejo - combustíveis e lubrificantes - índice dessazonalizado (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VNSUPTN12,Vendas nominais - varejo - hipermercados e supermercados - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VNVEICN12,"Vendas nominais - varejo - veículos, motos, partes e peças - índice (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRELETRN12,Vendas reais - varejo - móveis e eletrodomésticos - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRELETRNSA12,Vendas reais - varejo - móveis e eletrodomésticos - índice dessazonalizado (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRSUPN12,"Vendas reais - varejo - hipermercados, produtos alimentícios, bebidas e fumo - índice (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRSUPTN12,Vendas reais - varejo - hipermercados e supermercados - índice (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRSUPTNSA12,Vendas reais - varejo - hipermercados e supermercados - índice dessazonalizado (média 2022 = 100),Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRSUPNSA12,"Vendas reais - varejo - hipermercados, produtos alimentícios, bebidas e fumo - índice dessazonalizado (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRVEICN12,"Vendas reais - varejo - veículos, motos, partes e peças - índice (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRVEICNSA12,"Vendas reais - varejo - veículos, motos, partes e peças - índice dessazonalizado (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRVESTN12,"Vendas reais - varejo - tecidos, vestuário e calçados - índice (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
PMC12_VRVESTNSA12,"Vendas reais - varejo - tecidos, vestuário e calçados - índice dessazonalizado (média 2022 = 100)",Macroeconômico,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Mensal de Comércio (IBGE/PMC)",-
BM12_CS12,Operações de crédito - saldo da carteira de crédito - total,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_DEPOUCN12,Meio de pagamento ampliado - M2 - depósitos em poupança - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_DEPOUCNY12,Meio de pagamento ampliado - M2 - depósitos em poupança - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_DEVM12,Meio de pagamento Restrito - M1 - depósitos à vista - média,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCAFIN12,Fatores condicionantes da base monetária - operações de redesconto do Banco Central,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCDEPFIN12,Fatores condicionantes da base monetária - depósitos de instituições financeiras,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCOSE12,Fatores condicionantes da base monetária - operações do setor externo,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCOTPF12,Fatores condicionantes da base monetária - operações com títulos públicos federais,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCOUTC12,Fatores condicionantes da base monetária - outras contas,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCRB12,Fatores condicionantes da base monetária - variação da base monetária - reservas bancárias,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCPME12,Fatores condicionantes da base monetária - variação da base monetária - papel-moeda emitido,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCVARBM12,Fatores condicionantes da base monetária - variação da base monetária,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
