Ano,Mes,IGP-M,
2020,11,3.28,
2020,12,0.96,
2021,01,2.58,
2021,02,2.53,
2021,03,2.94,
2021,04,1.51,
2021,05,4.1,
2021,06,0.6,
2021,07,0.78,
2021,08,0.66,
2021,09,-0.64,
2021,10,0.64,
2021,11,0.02,
2021,12,0.87,
2022,01,1.82,
2022,02,1.83,
2022,03,1.74,
2022,04,1.41,
2022,05,0.52,
2022,06,0.59,
2022,07,0.21,
2022,08,-0.7,
2022,09,-0.95,
2022,10,-0.97,
2022,11,-0.56,
2022,12,0.45,
2023,01,0.21,
2023,02,-0.06,
2023,03,0.05,
